"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dataframe_name"
"72","RPS26",6.80574091334329e-45,-0.975836041916071,0.964,0.989,1.30561333681578e-40,"NK CD56 dim"
"73","CD3E",6.28781052116409e-30,1.4504506778335,0.497,0.284,1.20625357038012e-25,"NK CD56 dim"
"74","KLRC2",3.93290627190577e-29,1.95715144873242,0.342,0.16,7.54488739202403e-25,"NK CD56 dim"
"75","DDIT4",4.04872676118918e-25,0.890866432056989,0.725,0.523,7.76707741866533e-21,"NK CD56 dim"
"76","LY6E",2.1558319434034e-22,0.809265641322683,0.777,0.603,4.13574800022509e-18,"NK CD56 dim"
"77","JUN",7.35809047591252e-17,-1.2764753881124,0.311,0.457,1.41157607689906e-12,"NK CD56 dim"
"78","KLRC1",9.89283367791648e-17,-0.951372331654434,0.303,0.467,1.8978412127715e-12,"NK CD56 dim"
"79","S100B",8.26571187911265e-14,-0.820393370745051,0.13,0.294,1.58569416688897e-09,"NK CD56 dim"
"80","PTGDS",2.02697786372377e-12,1.21044524204146,0.431,0.324,3.88855433376768e-08,"NK CD56 dim"
"81","CD247",2.70320685097234e-56,-1.20804752307076,0.866,0.984,5.18583202290534e-52,"NKT"
"82","MYOM2",2.74470902935185e-48,-3.21023860450177,0.196,0.557,5.26544980190859e-44,"NKT"
"83","FCGR3A",4.02042794241785e-33,-1.30328217062923,0.711,0.934,7.71278896473441e-29,"NKT"
"84","CD3G",4.02638727751867e-30,1.72241046839415,0.694,0.266,7.72422135319181e-26,"NKT"
"85","IL32",1.63355777436473e-25,0.938316248809238,0.913,0.608,3.13381723434131e-21,"NKT"
"86","AKR1C3",1.68749470112177e-24,-2.35485802406005,0.128,0.478,3.237289834632e-20,"NKT"
"87","CD3D",2.54664451932048e-24,1.32802954117785,0.703,0.301,4.88548284586441e-20,"NKT"
"88","MTRNR2L8",2.88960037939607e-20,2.87327317305938,0.346,0.168,5.54340936783342e-16,"NKT"
"89","SPON2",8.24544114399534e-20,-0.860439241265806,0.537,0.835,1.58180542906407e-15,"NKT"
"90","JUN",1.39915093357158e-18,-1.88239031613625,0.31,0.554,2.68413115096371e-14,"NKT"
"91","RPS26",3.52950818434572e-34,-1.05000817008841,0.988,1,6.77100850084883e-30,"Non-classical monocytes"
"92","HLA-DRB5",8.30107645521747e-31,2.00102798343064,0.637,0.197,1.59247850716892e-26,"Non-classical monocytes"
"93","HLA-DQA2",4.91438453985211e-28,2.52504085928096,0.5,0.118,9.42775530125228e-24,"Non-classical monocytes"
"94","TMEM176B",7.37871325712239e-15,1.96532581561872,0.471,0.252,1.41553235124636e-10,"Non-classical monocytes"
"95","FBP1",4.95695191357765e-12,-1.1072071393655,0.498,0.659,9.50941655100736e-08,"Non-classical monocytes"
"96","HSPA1B",6.30178547424628e-12,-1.97603795452268,0.178,0.403,1.20893452537941e-07,"Non-classical monocytes"
"97","ERAP2",8.59991113327195e-10,-0.93162655749931,0.409,0.613,1.64980695180689e-05,"Non-classical monocytes"
"98","TPTEP1",1.20035463912603e-08,1.13462523912572,0.466,0.233,0.000230276033969937,"Non-classical monocytes"
"99","SLFN5",1.38341049926062e-08,-0.976714512336594,0.438,0.623,0.000265393470178158,"Non-classical monocytes"
"100","TMEM176A",2.40830256166072e-07,1.63407323494764,0.284,0.125,0.00462008763428992,"Non-classical monocytes"
"101","MTRNR2L8",1.25380489078058e-10,2.81364787461169,0.301,0.155,2.40529930247346e-06,"Peripheral memory CD8 T cells"
"102","JUN",7.01760483452334e-09,-1.33361211369221,0.371,0.535,0.000134625731145496,"Peripheral memory CD8 T cells"
"103","PIK3R1",8.54024945061188e-08,-0.955302019465832,0.627,0.802,0.00163836145460538,"Peripheral memory CD8 T cells"
"104","MTRNR2L8",1.87576591131323e-43,3.26295413712929,0.389,0.154,3.5984693242633e-39,"T helper cells C1"
"105","JUN",1.69342319051596e-15,-1.21260277589155,0.374,0.544,3.24866304868581e-11,"T helper cells C1"
"106","CCR7",2.30643164968787e-11,0.805023026225493,0.651,0.472,4.42465847676121e-07,"T helper cells C1"
"107","RP11-347P5.1",1.38066506936421e-08,-0.980728115613896,0.16,0.286,0.00026486678690683,"T helper cells C1"
"108","SOCS2",1.64909659916684e-06,-1.16606793397754,0.114,0.214,0.0316362691584166,"T helper cells C1"
"109","MTRNR2L8",2.9311200819275e-22,3.0901892167558,0.356,0.16,5.62306076516971e-18,"T helper cells C4"
"110","RPS26",6.13381541880856e-15,-0.898049576107749,0.988,0.987,1.17671114994423e-10,"T helper cells C4"
"111","DDIT4",1.10416493718704e-07,0.83557972397606,0.309,0.16,0.00211823001549962,"T helper cells C4"
"112","RPS26",7.02350293475049e-14,-1.01266888019275,0.983,1,1.34738880300253e-09,"T regulatory cells"
"113","MTRNR2L8",5.97412452586104e-12,3.29041321350848,0.31,0.117,1.14607604904118e-07,"T regulatory cells"
"114","RGCC",2.07650931631858e-07,0.879303148912053,0.565,0.407,0.00398357547242557,"T regulatory cells"
"115","HLA-DRB1",6.38422395480551e-07,-0.930528118074483,0.449,0.673,0.0122474952348989,"T regulatory cells"
"116","JUN",1.97602923305334e-06,-1.1427695334098,0.387,0.551,0.0379081448068952,"T regulatory cells"
